d,v
1996-01-02,17314
1996-01-03,17404
1996-01-04,17435
1996-01-05,17609
1996-01-08,17674
1996-01-09,17615
1996-01-10,17611
1996-01-11,17806
1996-01-12,17677
1996-01-15,17710
1996-01-16,17405
1996-01-17,17450
1996-01-18,17457
1996-01-19,17328
1996-01-22,17127
1996-01-23,17100
1996-01-24,16902
1996-01-25,16777
1996-01-26,16725
1996-01-29,16717
1996-01-30,17138
1996-01-31,16517
1996-02-01,17503
1996-02-02,17724
1996-02-05,17893
1996-02-06,18228
1996-02-07,18924
1996-02-08,18927
1996-02-09,19077
1996-02-12,18958
1996-02-13,18855
1996-02-14,18571
1996-02-15,18476
1996-02-16,18416
1996-02-19,18352
1996-02-20,18259
1996-02-21,18423
1996-02-22,18336
1996-02-23,18922
1996-02-26,18971
1996-02-27,18903
1996-02-28,18886
1996-02-29,18372
1996-03-01,18137
1996-03-04,18229
1996-03-05,18393
1996-03-06,18440
1996-03-07,18283
1996-03-08,19033
1996-03-11,19126
1996-03-12,19227
1996-03-13,19102
1996-03-14,18909
1996-03-15,18502
1996-03-18,18447
1996-03-19,18540
1996-03-20,18441
1996-03-21,18222
1996-03-22,17880
1996-03-25,17748
1996-03-26,17641
1996-03-27,18086
1996-03-28,18021
1996-03-29,18646
1996-04-01,18705
1996-04-02,18641
1996-04-03,18459
1996-04-08,18715
1996-04-09,18751
1996-04-10,19116
1996-04-11,19008
1996-04-12,18625
1996-04-15,18450
1996-04-16,18877
1996-04-17,18882
1996-04-18,19010
1996-04-19,18981
1996-04-22,19077
1996-04-23,18975
1996-04-24,18868
1996-04-25,18963
1996-04-26,18481
1996-04-29,17878
1996-04-30,17763
1996-05-02,18393
1996-05-03,18503
1996-05-06,18591
1996-05-07,18996
1996-05-08,19206
1996-05-09,19159
1996-05-10,19170
1996-05-13,19204
1996-05-14,19038
1996-05-15,18844
1996-05-16,18777
1996-05-17,18700
1996-05-20,18681
1996-05-21,19449
1996-05-22,19353
1996-05-23,19282
1996-05-24,19241
1996-05-27,19248
1996-05-28,18801
1996-05-29,18681
1996-05-30,18112
1996-05-31,18073
1996-06-03,18580
1996-06-04,18543
1996-06-05,18697
1996-06-06,18719
1996-06-07,18880
1996-06-11,18853
1996-06-12,19480
1996-06-13,19525
1996-06-14,20125
1996-06-18,19732
1996-06-19,19544
1996-06-20,19373
1996-06-21,19394
1996-06-24,19190
1996-06-25,19308
1996-06-26,19200
1996-06-27,19943
1996-06-28,19974
1996-07-01,19908
1996-07-02,19987
1996-07-03,20277
1996-07-04,20272
1996-07-05,20459
1996-07-08,20307
1996-07-10,20193
1996-07-11,20053
1996-07-12,20204
1996-07-15,20172
1996-07-16,20787
1996-07-17,20801
1996-07-18,20800
1996-07-19,20743
1996-07-22,20583
1996-07-23,20341
1996-07-24,20201
1996-07-25,19976
1996-07-26,19802
1996-07-29,20286
1996-07-30,20186
1996-07-31,19719
1996-08-01,19349
1996-08-02,19341
1996-08-05,19443
1996-08-06,19224
1996-08-07,19150
1996-08-08,19254
1996-08-09,19490
1996-08-12,19687
1996-08-13,19984
1996-08-14,19994
1996-08-15,20216
1996-08-16,19905
1996-08-20,19544
1996-08-21,19461
1996-08-22,19364
1996-08-23,19522
1996-08-26,19427
1996-08-27,19604
1996-08-28,19645
1996-08-29,19481
1996-08-30,19530
1996-09-02,19518
1996-09-03,19445
1996-09-04,19297
1996-09-05,19240
1996-09-06,19308
1996-09-09,19092
1996-09-10,19023
1996-09-11,19101
1996-09-12,18999
1996-09-13,19009
1996-09-16,18808
1996-09-17,19035
1996-09-18,18786
1996-09-19,18796
1996-09-20,19499
1996-09-23,19252
1996-09-24,19395
1996-09-25,19328
1996-09-26,19198
1996-09-27,18956
1996-09-30,19984
1996-10-01,20314
1996-10-02,20748
1996-10-03,20707
1996-10-04,19734
1996-10-07,19439
1996-10-08,19092
1996-10-09,20028
1996-10-10,19968
1996-10-11,20175
1996-10-14,20168
1996-10-15,20001
1996-10-16,19758
1996-10-17,19559
1996-10-18,19975
1996-10-21,19902
1996-10-22,19873
1996-10-23,19773
1996-10-24,19763
1996-10-25,19965
1996-10-28,19867
1996-10-29,19850
1996-10-30,19893
1996-10-31,19288
1996-11-01,19330
1996-11-04,19506
1996-11-05,19871
1996-11-06,19998
1996-11-07,19934
1996-11-08,19950
1996-11-11,19942
1996-11-12,20453
1996-11-13,20719
1996-11-14,20771
1996-11-15,20379
1996-11-18,20434
1996-11-19,20306
1996-11-20,20405
1996-11-21,20764
1996-11-22,20407
1996-11-25,20198
1996-11-26,20358
1996-11-27,20281
1996-11-28,20291
1996-11-29,20033
1996-12-02,20464
1996-12-03,20586
1996-12-04,20815
1996-12-05,20882
1996-12-06,20931
1996-12-09,20982
1996-12-10,20928
1996-12-11,21136
1996-12-12,20962
1996-12-13,21653
1996-12-16,21742
1996-12-17,21848
1996-12-18,22044
1996-12-19,22411
1996-12-20,22955
1996-12-23,23582
1996-12-24,23772
1996-12-26,23711
1996-12-27,23912
1996-12-30,23330
1997-01-02,23496
1997-01-03,23954
1997-01-06,23165
1997-01-07,22887
1997-01-08,22887
1997-01-09,23091
1997-01-10,23273
1997-01-13,23127
1997-01-14,22964
1997-01-15,22931
1997-01-16,22939
1997-01-17,22515
1997-01-20,22522
1997-01-21,22620
1997-01-22,22797
1997-01-23,22799
1997-01-24,22633
1997-01-27,22652
1997-01-28,22554
1997-01-29,22043
1997-01-30,24029
1997-01-31,23426
1997-02-03,23938
1997-02-04,23924
1997-02-05,23796
1997-02-06,23710
1997-02-07,24143
1997-02-10,24102
1997-02-11,23795
1997-02-12,24122
1997-02-13,24298
1997-02-14,24649
1997-02-17,24644
1997-02-18,24720
1997-02-19,24874
1997-02-20,25019
1997-02-21,25029
1997-02-24,25047
1997-02-25,25240
1997-02-26,25187
1997-02-27,25242
1997-02-28,25155
1997-03-03,25074
1997-03-04,25069
1997-03-05,24905
1997-03-06,24858
1997-03-07,24819
1997-03-10,24692
1997-03-11,24843
1997-03-12,24870
1997-03-13,25041
1997-03-14,25008
1997-03-17,24803
1997-03-18,25916
1997-03-19,25877
1997-03-20,25871
1997-03-21,25901
1997-03-24,25460
1997-03-25,25510
1997-03-26,25050
1997-03-31,24406
1997-04-01,24763
1997-04-02,24871
1997-04-03,24783
1997-04-04,24786
1997-04-07,24577
