d,v
2005-06-08,3.25
2005-06-09,3.25
2005-06-10,3.25
2005-06-13,3.25
2005-06-14,3.25
2005-06-15,3.25
2005-06-16,3.25
2005-06-17,3.75
2005-06-21,3.75
2005-06-22,3.75
2005-06-23,3.75
2005-06-24,3.75
2005-06-27,3.75
2005-06-28,3.75
2005-06-29,3.75
2005-06-30,3.75
2005-07-01,3.75
2005-07-04,3.75
2005-07-05,3.75
2005-07-06,3.75
2005-07-07,3.75
2005-07-08,3.75
2005-07-11,3.75
2005-07-12,3.75
2005-07-13,3.75
2005-07-14,3.75
2005-07-15,3.75
2005-07-18,3.75
2005-07-19,3.75
2005-07-20,3.75
2005-07-21,3.75
2005-07-22,3.75
2005-07-25,3.75
2005-07-26,3.75
2005-07-27,3.75
2005-07-28,3.75
2005-07-29,3.75
2005-08-01,3.75
2005-08-02,3.75
2005-08-03,3.75
2005-08-04,3.75
2005-08-05,3.75
2005-08-08,3.75
2005-08-09,3.75
2005-08-10,3.75
2005-08-11,3.75
2005-08-12,3.75
2005-08-16,3.75
2005-08-17,3.75
2005-08-18,3.75
2005-08-19,3.75
2005-08-22,3.75
2005-08-23,3.75
2005-08-24,3.75
2005-08-25,3.75
2005-08-26,3.75
2005-08-29,3.75
2005-08-30,3.75
2005-08-31,3.75
2005-09-01,3.75
2005-09-02,3.75
2005-09-05,3.75
2005-09-06,3.75
2005-09-07,3.75
2005-09-08,3.75
2005-09-09,3.75
2005-09-12,3.75
2005-09-13,3.75
2005-09-14,3.75
2005-09-15,3.75
2005-09-16,3.75
2005-09-19,3.75
2005-09-20,3.75
2005-09-21,3.75
2005-09-22,3.75
2005-09-23,3.75
2005-09-26,3.75
2005-09-27,3.75
2005-09-28,3.75
2005-09-29,3.75
2005-09-30,3.75
2005-10-03,3.75
2005-10-04,3.75
2005-10-05,3.75
2005-10-06,3.75
2005-10-07,3.75
2005-10-11,3.75
2005-10-12,3.75
2005-10-13,3.75
2005-10-14,3.75
2005-10-17,3.75
2005-10-18,3.75
2005-10-19,3.75
2005-10-20,3.75
2005-10-21,3.75
2005-10-24,3.75
2005-10-25,3.75
2005-10-26,3.75
2005-10-27,3.75
2005-10-28,3.75
2005-10-31,4.0
2005-11-01,4.0
2005-11-02,4.0
2005-11-03,4.0
2005-11-04,4.0
2005-11-07,4.0
2005-11-08,4.0
2005-11-09,4.0
2005-11-10,4.0
2005-11-11,4.0
2005-11-14,4.0
2005-11-15,4.0
2005-11-16,4.0
2005-11-17,4.0
2005-11-18,4.0
2005-11-21,4.0
2005-11-22,4.0
2005-11-23,4.0
2005-11-24,4.0
2005-11-25,4.0
2005-11-28,4.0
2005-11-29,4.0
2005-11-30,4.0
2005-12-01,4.0
2005-12-02,4.5
2005-12-05,4.5
2005-12-06,4.5
2005-12-07,4.5
2005-12-09,4.5
2005-12-12,4.5
2005-12-13,4.5
2005-12-14,4.5
2005-12-15,4.5
2005-12-16,4.5
2005-12-19,4.5
2005-12-20,4.5
2005-12-21,4.5
2005-12-22,4.5
2005-12-23,4.5
2005-12-26,4.5
2005-12-27,4.5
2005-12-28,4.5
2005-12-29,4.5
2005-12-30,4.5
2006-01-02,4.5
2006-01-03,4.5
2006-01-04,4.5
2006-01-05,4.5
2006-01-06,4.5
2006-01-09,4.5
2006-01-10,4.5
2006-01-11,4.5
2006-01-12,4.5
2006-01-13,4.5
2006-01-16,4.5
2006-01-17,4.5
2006-01-18,4.5
2006-01-19,4.5
2006-01-20,4.5
2006-01-23,4.5
2006-01-24,4.5
2006-01-25,4.5
2006-01-26,4.5
2006-01-27,4.5
2006-01-30,4.5
2006-01-31,4.5
2006-02-01,4.5
2006-02-02,4.5
2006-02-03,4.5
2006-02-06,4.5
2006-02-07,4.5
2006-02-08,4.5
2006-02-09,4.5
2006-02-10,4.5
2006-02-13,4.5
2006-02-14,4.5
2006-02-15,4.5
2006-02-16,4.5
2006-02-17,4.5
2006-02-20,4.5
2006-02-21,4.5
2006-02-22,4.5
2006-02-23,4.5
2006-02-24,4.5
2006-02-27,4.5
2006-02-28,4.5
2006-03-01,4.5
2006-03-02,4.5
2006-03-03,4.5
2006-03-06,4.5
2006-03-07,4.5
2006-03-08,4.5
2006-03-09,4.5
2006-03-10,4.5
2006-03-13,4.5
2006-03-14,4.5
2006-03-15,4.5
2006-03-16,4.5
2006-03-17,4.5
2006-03-20,4.5
2006-03-21,4.5
2006-03-22,4.5
2006-03-23,4.5
2006-03-27,4.5
2006-03-28,4.5
2006-03-29,4.5
2006-03-30,4.5
2006-03-31,4.5
2006-04-03,4.5
2006-04-04,4.5
2006-04-05,4.5
2006-04-06,4.5
2006-04-07,4.5
2006-04-10,4.5
2006-04-11,4.5
2006-04-12,4.5
2006-04-17,4.5
2006-04-18,4.5
2006-04-19,4.5
2006-04-20,4.5
2006-04-21,4.5
2006-04-24,4.5
2006-04-25,4.5
2006-04-26,4.5
2006-04-27,4.5
2006-04-28,4.5
2006-05-02,4.5
2006-05-03,4.5
2006-05-04,4.5
2006-05-05,4.5
2006-05-08,4.5
2006-05-09,4.5
2006-05-10,4.5
2006-05-11,4.5
2006-05-12,4.5
2006-05-15,5.0
2006-05-16,5.0
2006-05-17,5.0
2006-05-18,5.0
2006-05-19,5.0
2006-05-22,5.0
2006-05-23,5.0
2006-05-24,5.0
2006-05-26,5.0
2006-05-29,5.0
2006-05-30,5.0
2006-05-31,5.0
2006-06-01,5.0
2006-06-02,5.0
2006-06-05,5.0
2006-06-06,5.0
2006-06-07,5.0
2006-06-08,5.0
2006-06-09,5.0
2006-06-12,5.25
2006-06-13,5.25
2006-06-14,5.25
2006-06-15,5.25
2006-06-16,5.25
2006-06-20,5.25
2006-06-21,5.25
2006-06-22,5.25
2006-06-23,5.25
2006-06-26,5.25
2006-06-27,5.25
2006-06-28,5.25
2006-06-29,5.25
2006-06-30,5.25
2006-07-03,5.25
2006-07-04,5.25
2006-07-05,5.25
2006-07-06,5.25
2006-07-07,5.25
2006-07-10,5.25
2006-07-11,5.25
2006-07-12,5.25
2006-07-13,5.25
2006-07-14,5.25
2006-07-17,5.25
2006-07-18,5.25
2006-07-19,5.25
2006-07-20,5.25
2006-07-21,5.25
2006-07-24,5.25
2006-07-25,5.25
2006-07-26,5.25
2006-07-27,5.25
2006-07-28,5.25
2006-07-31,5.25
2006-08-01,5.25
2006-08-02,5.25
2006-08-03,5.25
2006-08-04,5.25
